donation_id,account_id,amount,is_revenue,close_date
0x79B17B5D44CE42C3C20B86B21638B142,0xD525444F870719C82256CD8076C700D3,$10.00,True,2022-10-15
0xCD10E9A2CE2FE58DBFD3314BBC118449,0xB3AF58F5C2F1B2CE724F4E119EB1C861,$50.00,False,2021-05-15
0x1E20D5B1DDEF9DC358C19283B022A5B7,0x560AA08058E26E44D1E5EB699C7F0EBD,$25.00,True,2020-04-01
0x567C7EF9D0EB722F0BD0BF1546849A54,0x73184E750AF82DCC3004389B8331976B,$15.00,False,2022-02-15
0x196B9FAB926BEA2A974C1EB7CD005318,0x68BCAC5A3883C338EF931B2D8C94B830,$30.00,True,2020-12-15
0x09621ACC4A7E13E9CF4B04159312528A,0xD445DE4D71CF6EF7B508974D3DC4BFB4,$5.00,True,2020-03-16
0x3B68C7E97A4EB6AC80ACC7258648E785,0x9E3198DB801271BE142B219B0979D87C,$30.00,False,2021-12-31
0xFC0BD69F47BF87EEDA1F1CB68BD85D55,0xD34FE50ED1B96D1C9D2308CD86F13530,$37.50,True,2023-07-17
0xB992626FF801361DD9CE50EFE17B088D,0x670E1A94177FF3969DAC89F93922A578,$30.00,True,2022-04-20
0xEEB03299E85BE7F0923B47847580F5D4,0x6067A05360D1C85D04D038C859028240,$15.45,True,2020-05-15
0xF3E1BD83447334A7CAD8E84C231A73E3,0xB421BAA83F944D89B054D3EF4921CB8F,$0.00,False,2023-01-15
0x1E06B4476A8E2977331880A15F290A65,0x6DCFA20E6D2304799DDD1D6E56F0D5AA,$20.00,True,2020-08-15
0x077B4165CDB76E8180CA26D5E6350232,0x98DABB820E16748DA5CE0D8D376A6BA4,$25.00,True,2021-01-20
0x1B10A8996BA442F1CDFD385E5CDDA9BA,0xB67485305E29AADA01FF6590AD9F544E,"$7,707.55",False,2022-05-16
0x5809BBA5E5D4F6285402B758B23F4ED8,0x0763DAFD8E50BC06CC2FE98DC744920C,$66.66,True,2023-08-15
0x3C446C64364A1FC06E86270F7DFEEDF0,0x85BCE68667E9539649C08B3C898D81DD,$15.00,False,2020-08-20
0x4A90E801B40B2FDF4965225297233AA7,0x1D2DB9D1B1E5CFA539A9029975749329,$30.00,False,2022-09-16
0xF98C276F9858F30F44D9D32D69FF16D5,0x6D4A1CAD0E7819E86155F3843BE18946,$20.00,False,2020-06-15
0xC035B0E7ADEAC6DB70A68502462C3057,0x168468EDB138FBBAAFF431AD36D2FAE3,$40.40,True,2022-10-15
0xA4B290F297D1D655963C27155ADF4125,0xAB4949C688F8B33AF76FACFBA02FADBD,$25.00,True,2022-05-06
0x0FC7609BDA415AAEE255B4241C3CDE56,0x7A0191EAFB6CEA8E40BD3B96F15AB056,$10.00,True,2022-07-15
